Restaurant Name,Country Code,City,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
Silantro Fil-Mex,162,Quezon City,"UP Town Center, Diliman, Quezon City","Filipino, Mexican",800,other_currency,No,No,No,No,3,4.8,Dark Green,Excellent,294,Phillipines
Guevarra's,162,San Juan City,Addition Hills,Filipino,1000,other_currency,Yes,No,No,No,3,4.2,Green,Very Good,458,Phillipines
Sodam Korean Restaurant,162,San Juan City,Little Baguio,Korean,700,other_currency,No,No,No,No,3,4.3,Green,Very Good,223,Phillipines
Cafe Arabelle,162,Santa Rosa,"Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",800,other_currency,No,No,No,No,3,3.6,Yellow,Good,29,Phillipines
Nonna's Pasta & Pizzeria,162,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",850,other_currency,No,No,No,No,3,4.0,Green,Very Good,72,Phillipines
Balay Dako,162,Tagaytay City,Tagaytay City,Filipino,1200,other_currency,Yes,No,No,No,3,4.5,Dark Green,Excellent,211,Phillipines
Hobing Korean Dessert Cafe,162,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",600,other_currency,No,No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines
Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,"Cafe, Bakery, American, Italian",1500,other_currency,Yes,No,No,No,4,4.4,Green,Very Good,392,Phillipines
NIU by Vikings,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",3000,other_currency,Yes,No,No,No,4,4.7,Dark Green,Excellent,535,Phillipines
The Food Hall by Todd English,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",1800,other_currency,Yes,No,No,No,4,4.5,Dark Green,Excellent,618,Phillipines
Chez Michou,30,Bras韄lia,Asa Norte,"Fast Food, French",55,other_currency,No,No,No,No,2,3.0,Orange,Average,6,Brazil
Caf愆 Daniel Briand,30,Bras韄lia,Asa Norte,Cafe,30,other_currency,No,No,No,No,1,3.8,Yellow,Good,9,Brazil
Casa do Biscoito Mineiro,30,Bras韄lia,Asa Norte,Bakery,45,other_currency,No,No,No,No,2,3.7,Yellow,Good,11,Brazil
Maori,30,Bras韄lia,Asa Norte,Brazilian,60,other_currency,No,No,No,No,3,3.8,Yellow,Good,11,Brazil
Pizza 礞 Bessa,30,Bras韄lia,Asa Sul,Pizza,50,other_currency,No,No,No,No,2,3.2,Orange,Average,11,Brazil
Sushi Loko,30,Bras韄lia,Asa Sul,Japanese,80,other_currency,No,No,No,No,3,3.1,Orange,Average,10,Brazil
Beirute,30,Bras韄lia,Asa Sul,Arabian,90,other_currency,No,No,No,No,3,3.7,Yellow,Good,8,Brazil
New Koto,30,Bras韄lia,Asa Sul,Japanese,200,other_currency,No,No,No,No,4,3.7,Yellow,Good,5,Brazil
Sandubas Caf愆,30,Bras韄lia,Asa Sul,"Brazilian, Cafe",30,other_currency,No,No,No,No,1,0.0,White,Not rated,2,Brazil
Villa Tevere,30,Bras韄lia,Asa Sul,Italian,150,other_currency,No,No,No,No,4,4.1,Green,Very Good,12,Brazil
Rovereto,30,Bras韄lia,韥guas Claras,Pizza,100,other_currency,No,No,No,No,4,3.1,Orange,Average,9,Brazil
Buena Carne,30,Bras韄lia,韥guas Claras,"Bar Food, Brazilian",60,other_currency,No,No,No,No,3,3.6,Yellow,Good,9,Brazil
Taco Pep,30,Bras韄lia,韥guas Claras,"Mexican, Grill",100,other_currency,No,No,No,No,4,4.3,Green,Very Good,29,Brazil
Coco Bambu,30,Bras韄lia,"Bras韄lia Shopping, Asa Norte",International,230,other_currency,No,No,No,No,4,4.2,Green,Very Good,17,Brazil
Tayp礴,30,Bras韄lia,Lago Sul,"Peruvian, Latin American",100,other_currency,No,No,No,No,4,3.6,Yellow,Good,5,Brazil
Outback Steakhouse,30,Bras韄lia,"ParkShopping, Guar礴 I","American, Grill",150,other_currency,No,No,No,No,4,4.0,Green,Very Good,10,Brazil
Manzu礴,30,Bras韄lia,"Pont恚o Lago Sul, Lago Sul",Seafood,240,other_currency,No,No,No,No,4,3.2,Orange,Average,6,Brazil
Coco Bambu,30,Bras韄lia,Setor De Clubes Esportivos Sul,International,230,other_currency,No,No,No,No,4,4.9,Dark Green,Excellent,30,Brazil
Gero,30,Bras韄lia,"Shopping Iguatemi, Lago Norte",Italian,350,other_currency,No,No,No,No,4,3.3,Orange,Average,8,Brazil
Brazilian American Burgers,30,Bras韄lia,Sudoeste,"American, Burger",50,other_currency,No,No,No,No,2,3.6,Yellow,Good,9,Brazil
Pesqueiro Eco Gourmet,30,Rio de Janeiro,Barra da Tijuca,"Seafood, Bar Food, Brazilian",140,other_currency,No,No,No,No,4,4.0,Green,Very Good,7,Brazil
Confeitaria Colombo,30,Rio de Janeiro,Centro,"Desserts, Cafe",100,other_currency,No,No,No,No,4,4.8,Dark Green,Excellent,29,Brazil
Bibi,30,Rio de Janeiro,Copacabana,"Juices, Healthy Food",60,other_currency,No,No,No,No,3,4.7,Dark Green,Excellent,24,Brazil
Cervantes,30,Rio de Janeiro,Copacabana,"Beverages, Bar Food, Fast Food",90,other_currency,No,No,No,No,3,4.5,Dark Green,Excellent,29,Brazil
Amir,30,Rio de Janeiro,Copacabana,Lebanese,170,other_currency,No,No,No,No,4,4.2,Green,Very Good,11,Brazil
TT Burger,30,Rio de Janeiro,"Galeria River, Copacabana",Burger,60,other_currency,No,No,No,No,3,4.8,Dark Green,Excellent,19,Brazil
Braseiro da G礴vea,30,Rio de Janeiro,G礴vea,"Brazilian, Bar Food",100,other_currency,No,No,No,No,4,4.9,Dark Green,Excellent,40,Brazil
Balada Mix,30,Rio de Janeiro,Ipanema,"Brazilian, Healthy Food, Juices, Pizza",90,other_currency,No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazil
Garota de Ipanema,30,Rio de Janeiro,Ipanema,"Brazilian, Bar Food",120,other_currency,No,No,No,No,4,4.9,Dark Green,Excellent,49,Brazil
Zaz礴 Bistr砬 Tropical,30,Rio de Janeiro,Ipanema,Brazilian,170,other_currency,No,No,No,No,4,4.6,Dark Green,Excellent,21,Brazil
Fil愆 de Ouro,30,Rio de Janeiro,Lagoa,Brazilian,90,other_currency,No,No,No,No,3,4.3,Green,Very Good,14,Brazil
D.O.C Ristorante,30,Rio de Janeiro,"Le Monde, Barra da Tijuca",Italian,150,other_currency,No,No,No,No,4,4.0,Green,Very Good,5,Brazil
Sushi Leblon,30,Rio de Janeiro,Leblon,Japanese,250,other_currency,No,No,No,No,4,4.6,Dark Green,Excellent,25,Brazil
Talho Capixaba,30,Rio de Janeiro,Leblon,"Bakery, Sandwich, Brazilian",120,other_currency,No,No,No,No,4,4.4,Green,Very Good,13,Brazil
Leme Light,30,Rio de Janeiro,Leme,Brazilian,40,other_currency,No,No,No,No,2,4.2,Green,Very Good,7,Brazil
Shirley,30,Rio de Janeiro,Leme,"Brazilian, Seafood",250,other_currency,No,No,No,No,4,4.2,Green,Very Good,8,Brazil
Quiosque Chopp Brahma,30,Rio de Janeiro,Madureira,"Bar Food, Brazilian",70,other_currency,No,No,No,No,3,0.0,White,Not rated,1,Brazil
Apraz韄vel,30,Rio de Janeiro,Santa Teresa,Brazilian,300,other_currency,No,No,No,No,4,4.7,Dark Green,Excellent,44,Brazil
Aconchego Carioca,30,Rio de Janeiro,Tijuca,"Brazilian, Bar Food",85,other_currency,No,No,No,No,3,4.6,Dark Green,Excellent,24,Brazil
Garota de Ipanema,30,Rio de Janeiro,Urca,"Brazilian, Bar Food",80,other_currency,No,No,No,No,3,4.3,Green,Very Good,10,Brazil
Cantina Famiglia Mancini,30,S恚o Paulo,"Bela Vista, Centro","Italian, Pizza",250,other_currency,No,No,No,No,4,4.5,Dark Green,Excellent,49,Brazil
Templo da Carne - Marcos Bassi,30,S恚o Paulo,"Bela Vista, Centro","Steak, BBQ",250,other_currency,No,No,No,No,4,4.4,Green,Very Good,17,Brazil
Gopala Hari,30,S恚o Paulo,Consola韄恚o,Indian,70,other_currency,No,No,No,No,3,3.1,Orange,Average,5,Brazil
Jiquitaia,30,S恚o Paulo,Consola韄恚o,Brazilian,100,other_currency,No,No,No,No,4,4.1,Green,Very Good,15,Brazil
Skye - Hotel Unique,30,S恚o Paulo,"Hotel Unique, Jardim Paulista","Beverages, International",300,other_currency,No,No,No,No,4,4.8,Dark Green,Excellent,59,Brazil
Les 3 Brasseurs,30,S恚o Paulo,Itaim Bibi,"French, Brazilian, Beverages",120,other_currency,No,No,No,No,4,4.6,Dark Green,Excellent,30,Brazil
Red Steak & Burger,30,S恚o Paulo,Itaim Bibi,"Brazilian, Grill",75,other_currency,No,No,No,No,3,3.9,Yellow,Good,5,Brazil
Cantinho da Gula,30,S恚o Paulo,Itaim Bibi,Brazilian,55,other_currency,No,No,No,No,2,0.0,White,Not rated,0,Brazil
Paris 6 Classique,30,S恚o Paulo,Jardim Paulista,French,200,other_currency,No,No,No,No,4,3.4,Orange,Average,73,Brazil
Kawa Sushi,30,S恚o Paulo,Jardim Paulista,"Sushi, Japanese",120,other_currency,No,No,No,No,4,3.5,Yellow,Good,9,Brazil
A Figueira Rubaiyat,30,S恚o Paulo,Jardim Paulista,"BBQ, Grill, Brazilian",300,other_currency,No,No,No,No,4,4.3,Green,Very Good,39,Brazil
Kinoshita,30,S恚o Paulo,Moema,Sushi,230,other_currency,No,No,No,No,4,3.9,Yellow,Good,12,Brazil
Meats,30,S恚o Paulo,Pinheiros,"Gourmet Fast Food, Burger",120,other_currency,No,No,No,No,4,4.3,Green,Very Good,68,Brazil
Paribar,30,S恚o Paulo,Rep韄blica,"Brazilian, Italian",150,other_currency,No,No,No,No,4,4.3,Green,Very Good,46,Brazil
Terra韄o It礴lia,30,S恚o Paulo,Rep韄blica,Italian,400,other_currency,No,No,No,No,4,4.4,Green,Very Good,37,Brazil
Divino Fog恚o,30,S恚o Paulo,"Shopping Metr砬 Santa Cruz, Vila Mariana","Brazilian, Mineira",65,other_currency,No,No,No,No,3,0.0,White,Not rated,2,Brazil
Super Grill,30,S恚o Paulo,"Shopping Morumbi, Santo Amaro",Brazilian,50,other_currency,No,No,No,No,2,0.0,White,Not rated,2,Brazil
Esquina Mocot韄,30,S恚o Paulo,Vila Maria,"Brazilian, North Eastern",100,other_currency,No,No,No,No,4,4.4,Green,Very Good,22,Brazil
Veloso,30,S恚o Paulo,Vila Mariana,"Brazilian, Bar Food, Beverages",70,other_currency,No,No,No,No,3,4.6,Dark Green,Excellent,58,Brazil
Sainte Marie Gastronomia,30,S恚o Paulo,Vila S砬nia,"Lebanese, Arabian",120,other_currency,No,No,No,No,4,4.1,Green,Very Good,11,Brazil
Austin's BBQ and Oyster Bar,216,Albany,Albany,"BBQ, Burger, Seafood",25,other_currency,No,No,No,No,2,3.3,Orange,Average,35,United States
BJ's Country Buffet,216,Albany,Albany,"American, BBQ",10,other_currency,No,No,No,No,1,3.3,Orange,Average,25,United States
Cookie Shoppe,216,Albany,Albany,Not Specified,0,other_currency,No,No,No,No,1,3.4,Orange,Average,34,United States
El Vaquero Mexican Restaurant,216,Albany,Albany,Mexican,0,other_currency,No,No,No,No,1,3.4,Orange,Average,45,United States
Elements Coffee Co - Northwest,216,Albany,Albany,"Coffee and Tea, Sandwich",10,other_currency,No,No,No,No,1,3.4,Orange,Average,26,United States
Pearly's Famous Country Cookng,216,Albany,Albany,Not Specified,0,other_currency,No,No,No,No,1,3.4,Orange,Average,36,United States
Chick-fil-A,216,Albany,Albany,Fast Food,10,other_currency,No,No,No,No,1,3.5,Yellow,Good,67,United States
Guang Zhou Chinese Restaurant,216,Albany,Albany,"Asian, Chinese, Vegetarian",10,other_currency,No,No,No,No,1,3.9,Yellow,Good,141,United States
Harvest Moon,216,Albany,Albany,"Pizza, Bar Food, Sandwich",25,other_currency,No,No,No,No,2,3.7,Yellow,Good,147,United States
Henry Campbell's Steakhouse,216,Albany,Albany,"Steak, Tapas, Bar Food",70,other_currency,No,No,No,No,4,3.5,Yellow,Good,51,United States
Hong Kong Cafe,216,Albany,Albany,"Chinese, Seafood, Vegetarian",25,other_currency,No,No,No,No,2,3.6,Yellow,Good,88,United States
House of China Restaurant II,216,Albany,Albany,Chinese,10,other_currency,No,No,No,No,1,3.8,Yellow,Good,153,United States
Jimmie's Hot Dogs,216,Albany,Albany,Not Specified,10,other_currency,No,No,No,No,1,3.9,Yellow,Good,160,United States
Locos Grill & Pub,216,Albany,Albany,"American, Burger, Sandwich",25,other_currency,No,No,No,No,2,3.5,Yellow,Good,57,United States
Longhorn Steakhouse,216,Albany,Albany,"American, Steak",25,other_currency,No,No,No,No,2,3.5,Yellow,Good,58,United States
Mikata Japanese Steakhouse,216,Albany,Albany,"Japanese, Steak, Sushi",40,other_currency,No,No,No,No,3,3.6,Yellow,Good,115,United States
Shogun Japanese Steak House,216,Albany,Albany,"Japanese, Steak, Sushi",40,other_currency,No,No,No,No,3,3.5,Yellow,Good,51,United States
The Catch Seafood Room & Oyster Bar,216,Albany,Albany,"Seafood, Tapas, Bar Food",40,other_currency,No,No,No,No,3,3.8,Yellow,Good,250,United States
Villa Gargano,216,Albany,Albany,"Italian, Pizza",10,other_currency,No,No,No,No,1,3.7,Yellow,Good,117,United States
3 Squares Diner,216,Albany,Sylvester,"American, Breakfast, Diner",10,other_currency,No,No,No,No,1,3.4,Orange,Average,20,United States
Whitebull Hotel,14,Armidale,Armidale,"Bar Food, Steak",20,other_currency,No,No,No,No,2,3.5,Yellow,Good,25,Australia
Last Resort Grill,216,Athens,Athens,"American, Southern, Southwestern",40,other_currency,No,No,No,No,3,4.5,Dark Green,Excellent,1821,United States
Mama's Boy Restaurant,216,Athens,Athens,Southern,10,other_currency,No,No,No,No,1,4.5,Dark Green,Excellent,849,United States
Sr. Sol 1,216,Athens,Athens,Mexican,10,other_currency,No,No,No,No,1,4.6,Dark Green,Excellent,917,United States
Choo Choo Eastside,216,Athens,Athens,"Japanese, Korean",10,other_currency,No,No,No,No,1,3.9,Yellow,Good,439,United States
The Grill,216,Athens,Athens,"Breakfast, Burger, Sandwich",10,other_currency,No,No,No,No,1,3.7,Yellow,Good,289,United States
Big City Bread Cafe,216,Athens,Athens,"Breakfast, Sandwich",10,other_currency,No,No,No,No,1,4.3,Green,Very Good,558,United States
Clocked,216,Athens,Athens,"American, Burger, Sandwich",10,other_currency,No,No,No,No,1,4.2,Green,Very Good,613,United States
DePalma's Italian Cafe - Downtown,216,Athens,Athens,"American, Italian, Pizza",25,other_currency,No,No,No,No,2,4.0,Green,Very Good,353,United States
DePalma's Italian Cafe - East Side,216,Athens,Athens,"American, Italian, Pizza",25,other_currency,No,No,No,No,2,4.1,Green,Very Good,387,United States
Five & Ten,216,Athens,Athens,American,40,other_currency,No,No,No,No,3,4.3,Green,Very Good,755,United States
Grit,216,Athens,Athens,"International, Southern, Vegetarian",10,other_currency,No,No,No,No,1,4.2,Green,Very Good,800,United States
Ike & Jane,216,Athens,Athens,Sandwich,10,other_currency,No,No,No,No,1,4.1,Green,Very Good,350,United States
La Dolce Vita Ristorante,216,Athens,Athens,Italian,40,other_currency,No,No,No,No,3,4.1,Green,Very Good,464,United States
Shokitini,216,Athens,Athens,"Asian, Japanese, Sushi",25,other_currency,No,No,No,No,2,4.2,Green,Very Good,550,United States
Taqueria Del Sol,216,Athens,Athens,"Mexican, Spanish",10,other_currency,No,No,No,No,1,4.1,Green,Very Good,543,United States
The National,216,Athens,Athens,"International, Southern",40,other_currency,No,No,No,No,3,4.1,Green,Very Good,465,United States
The Royal Peasant,216,Athens,Athens,Bar Food,10,other_currency,No,No,No,No,1,4.4,Green,Very Good,546,United States
Transmetropolitan,216,Athens,Athens,"Italian, Pizza, Sandwich",10,other_currency,No,No,No,No,1,4.4,Green,Very Good,1098,United States
Trappeze Pub,216,Athens,Athens,"Burger, Bar Food",25,other_currency,No,No,No,No,2,4.2,Green,Very Good,579,United States
Viva! Argentine Cuisine,216,Athens,Athens,"Desserts, Latin American, Argentine",10,other_currency,No,No,No,No,1,4.1,Green,Very Good,374,United States
Miyabi Kyoto Japanese Steak House,216,Augusta,Augusta,"Chinese, Steak",40,other_currency,No,No,No,No,3,4.6,Dark Green,Excellent,717,United States
Rae's Coastal Cafe,216,Augusta,Augusta,"American, Caribbean, Seafood",40,other_currency,No,No,No,No,3,4.9,Dark Green,Excellent,548,United States
The Bee's Knees,216,Augusta,Augusta,"International, Tapas, Vegetarian",25,other_currency,No,No,No,No,2,4.5,Dark Green,Excellent,631,United States
Boll Weevil Cafe,216,Augusta,Augusta,"Desserts, Sandwich, Southern",10,other_currency,No,No,No,No,1,3.9,Yellow,Good,372,United States
Farmhaus Burger,216,Augusta,Augusta,"American, Burger",25,other_currency,No,No,No,No,2,3.9,Yellow,Good,201,United States
Manuel's Bread Cafe,216,Augusta,Augusta,"Breakfast, French",40,other_currency,No,No,No,No,3,3.8,Yellow,Good,332,United States
Sconyers Bar B Que,216,Augusta,Augusta,BBQ,25,other_currency,No,No,No,No,2,3.5,Yellow,Good,304,United States
Frog Hollow Tavern,216,Augusta,Augusta,American,40,other_currency,No,No,No,No,3,4.3,Green,Very Good,368,United States
Giuseppe's Pizza & Italian Specialities,216,Augusta,Augusta,"Desserts, Italian, Pizza",25,other_currency,No,No,No,No,2,4.1,Green,Very Good,430,United States
Mellow Mushroom,216,Augusta,Augusta,"Italian, Pizza, Sandwich",25,other_currency,No,No,No,No,2,4.4,Green,Very Good,433,United States
Nacho Mamas Burritos,216,Augusta,Augusta,Mexican,10,other_currency,No,No,No,No,1,4.0,Green,Very Good,380,United States
Rhinehart's Oyster Bar,216,Augusta,Augusta,"Bar Food, Sandwich, Seafood",25,other_currency,No,No,No,No,2,4.0,Green,Very Good,456,United States
Takosushi,216,Augusta,Augusta,"Mexican, Southwestern, Sushi",40,other_currency,No,No,No,No,3,4.2,Green,Very Good,647,United States
The Chop House,216,Augusta,Augusta,Steak,40,other_currency,No,No,No,No,3,4.0,Green,Very Good,360,United States
The Taj of India,216,Augusta,Augusta,Indian,25,other_currency,No,No,No,No,2,4.0,Green,Very Good,227,United States
Augsburg Haus,216,Augusta,Evans,German,25,other_currency,No,No,No,No,2,3.9,Yellow,Good,290,United States
Pho Bac,216,Augusta,Evans,Vietnamese,10,other_currency,No,No,No,No,1,4.1,Green,Very Good,270,United States
Rhinehart's Oyster Bar,216,Augusta,Evans,"Burger, Seafood",25,other_currency,No,No,No,No,2,4.0,Green,Very Good,326,United States
Thai Kitchen,216,Augusta,Evans,Thai,35,other_currency,No,No,No,No,3,4.3,Green,Very Good,317,United States
El Kiosco Mexican Restaurant,216,Augusta,Grovetown,Mexican,10,other_currency,No,No,No,No,1,4.2,Green,Very Good,300,United States
Taste of Balingup,14,Balingup,Balingup,Modern Australian,20,other_currency,No,No,No,No,2,3.2,Orange,Average,21,Australia
Bridge Road Brewers,14,Beechworth,Beechworth,"Pizza, Bar Food",20,other_currency,No,No,No,No,2,4.6,Dark Green,Excellent,237,Australia
Bardenay,216,Boise,Boise,"American, Bar Food",25,other_currency,No,No,No,No,2,4.5,Dark Green,Excellent,879,United States
Flatbread Neapolitan Pizzeria,216,Boise,Boise,"Italian, Pizza",25,other_currency,No,No,No,No,2,4.6,Dark Green,Excellent,615,United States
Goldy's Breakfast Bistro,216,Boise,Boise,"Breakfast, Sandwich",25,other_currency,No,No,No,No,2,4.5,Dark Green,Excellent,879,United States
Chandlers Steakhouse,216,Boise,Boise,"American, Seafood, Steak",70,other_currency,No,No,No,No,4,3.9,Yellow,Good,379,United States
Bar Gernika Basque Pub & Eatery,216,Boise,Boise,"European, Spanish",10,other_currency,No,No,No,No,1,4.3,Green,Very Good,303,United States
Barbacoa Restaurant,216,Boise,Boise,"Latin American, Steak",70,other_currency,No,No,No,No,4,4.1,Green,Very Good,538,United States
Big Jud's,216,Boise,Boise,"American, Burger, Sandwich",10,other_currency,No,No,No,No,1,4.2,Green,Very Good,334,United States
Bittercreek Ale House,216,Boise,Boise,"American, Bar Food",25,other_currency,No,No,No,No,2,4.3,Green,Very Good,555,United States
Boise Fry Company,216,Boise,Boise,"American, Burger",10,other_currency,No,No,No,No,1,4.4,Green,Very Good,823,United States
Flying Pie Pizzaria,216,Boise,Boise,Pizza,25,other_currency,No,No,No,No,2,4.1,Green,Very Good,550,United States
Fork,216,Boise,Boise,"American, Burger",25,other_currency,No,No,No,No,2,4.4,Green,Very Good,650,United States
Guido's Original New York Style Pizza,216,Boise,Boise,Pizza,10,other_currency,No,No,No,No,1,4.3,Green,Very Good,410,United States
Los Beto's,216,Boise,Boise,Mexican,10,other_currency,No,No,No,No,1,4.4,Green,Very Good,660,United States
Lucianos Italian Restaurant,216,Boise,Boise,"Italian, Seafood, Vegetarian",25,other_currency,No,No,No,No,2,4.4,Green,Very Good,360,United States
Mai Thai Restaurant,216,Boise,Boise,"Sushi, Thai",40,other_currency,No,No,No,No,3,4.0,Green,Very Good,340,United States
Shige Japanese Cuisine,216,Boise,Boise,"Japanese, Sushi, Teriyaki",25,other_currency,No,No,No,No,2,4.1,Green,Very Good,393,United States
The Egg Factory,216,Boise,Boise,Breakfast,10,other_currency,No,No,No,No,1,4.3,Green,Very Good,422,United States
Tucanos,216,Boise,Boise,Brazilian,40,other_currency,No,No,No,No,3,4.0,Green,Very Good,435,United States
Texas Roadhouse,216,Boise,Meridian,"American, BBQ, Steak",25,other_currency,No,No,No,No,2,4.0,Green,Very Good,369,United States
Brick 29,216,Boise,Nampa,American,40,other_currency,No,No,No,No,3,4.4,Green,Very Good,487,United States
Winifreds,216,Cedar Rapids/Iowa City,Cedar Rapids,"American, Mediterranean, Seafood",40,other_currency,No,No,No,No,3,3.7,Yellow,Good,98,United States
Biaggi's Ristorante Italiano,216,Cedar Rapids/Iowa City,Cedar Rapids,"Italian, Pizza",40,other_currency,No,No,No,No,3,4.1,Green,Very Good,365,United States
El Super Burrito,216,Cedar Rapids/Iowa City,Cedar Rapids,Mexican,10,other_currency,No,No,No,No,1,4.1,Green,Very Good,190,United States
Granite City Food & Brewery,216,Cedar Rapids/Iowa City,Cedar Rapids,"American, Breakfast, Burger",40,other_currency,No,No,No,No,3,4.1,Green,Very Good,429,United States
Irish Democrat,216,Cedar Rapids/Iowa City,Cedar Rapids,"American, BBQ, Burger",25,other_currency,No,No,No,No,2,4.4,Green,Very Good,430,United States
Taste of India,216,Cedar Rapids/Iowa City,Cedar Rapids,Indian,25,other_currency,No,No,No,No,2,4.2,Green,Very Good,186,United States
Thai Moon Restaurant,216,Cedar Rapids/Iowa City,Cedar Rapids,"Chinese, Sushi, Thai",10,other_currency,No,No,No,No,1,4.2,Green,Very Good,220,United States
Ting's Red Lantern,216,Cedar Rapids/Iowa City,Cedar Rapids,Chinese,10,other_currency,No,No,No,No,1,4.2,Green,Very Good,347,United States
Monica's,216,Cedar Rapids/Iowa City,Coralville,"American, Italian, Pizza",25,other_currency,No,No,No,No,2,3.8,Yellow,Good,161,United States
Exotic India,216,Cedar Rapids/Iowa City,Coralville,Indian,25,other_currency,No,No,No,No,2,4.1,Green,Very Good,160,United States
Shorts Burger and Shine,216,Cedar Rapids/Iowa City,Iowa City,Burger,10,other_currency,No,No,No,No,1,4.9,Dark Green,Excellent,820,United States
The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,Iowa City,"American, Breakfast, Burger",10,other_currency,No,No,No,No,1,4.5,Dark Green,Excellent,488,United States
Bluebird Diner,216,Cedar Rapids/Iowa City,Iowa City,"Breakfast, Diner",25,other_currency,No,No,No,No,2,3.6,Yellow,Good,253,United States
Graze,216,Cedar Rapids/Iowa City,Iowa City,"American, International, Sushi",40,other_currency,No,No,No,No,3,3.8,Yellow,Good,220,United States
A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,Iowa City,Pizza,25,other_currency,No,No,No,No,2,4.3,Green,Very Good,485,United States
Atlas World Grill,216,Cedar Rapids/Iowa City,Iowa City,International,40,other_currency,No,No,No,No,3,4.3,Green,Very Good,428,United States
BlackStone,216,Cedar Rapids/Iowa City,Iowa City,"American, Breakfast",25,other_currency,No,No,No,No,2,4.1,Green,Very Good,294,United States
Devotay,216,Cedar Rapids/Iowa City,Iowa City,"Mediterranean, Tapas, Vegetarian",40,other_currency,No,No,No,No,3,4.0,Green,Very Good,380,United States
Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,Iowa City,BBQ,25,other_currency,No,No,No,No,2,4.2,Green,Very Good,259,United States
Zoeys Pizzeria,216,Cedar Rapids/Iowa City,Marion,"Pizza, Sandwich",25,other_currency,No,No,No,No,2,4.7,Dark Green,Excellent,433,United States
Tokyo Sushi,37,Chatham-Kent,Chatham-Kent,"Japanese, Sushi",25,other_currency,No,No,No,No,2,3.7,Yellow,Good,176,Canada
Berry Patch Restaurant,216,Clatskanie,Clatskanie,"American, Breakfast, Desserts",10,other_currency,No,No,No,No,1,4.3,Green,Very Good,96,United States
Sakura Sushi & Grill,216,Cochrane,Cochrane,"Asian, Japanese",25,other_currency,No,No,No,No,2,3.1,Orange,Average,6,United States
Uptown Vietnam cuisine,216,Columbus,Columbus,"Asian, Vietnamese",10,other_currency,No,No,No,No,1,3.3,Orange,Average,33,United States
